Genotype,Location,Year,Rep,Adjusted Yield
SB195,MPIKA,2021,2,953.125
SB195,MPIKA,2021,3,637.2916667
SB197,MPIKA,2021,1,1637.5
SB197,MPIKA,2021,2,890.4166667
SB197,MPIKA,2021,3,730
SB198,MPIKA,2021,1,681.25
SB198,MPIKA,2021,2,969.1666667
SB198,MPIKA,2021,3,665.4166667
SB199,MPIKA,2021,1,442.0833333
SB199,MPIKA,2021,2,1047.708333
SB199,MPIKA,2021,3,538.9583333
SB200,MPIKA,2021,1,2270.416667
SB200,MPIKA,2021,2,1001.875
SB200,MPIKA,2021,3,940.4166667
SB201,MPIKA,2021,1,1153.541667
SB201,MPIKA,2021,2,1240.416667
SB201,MPIKA,2021,3,1183.541667
SB202,MPIKA,2021,1,849.375
SB202,MPIKA,2021,2,1112.708333
SB202,MPIKA,2021,3,647.2916667
SB203,MPIKA,2021,1,587.2916667
SB203,MPIKA,2021,2,772.9166667
SB203,MPIKA,2021,3,750
SB206,MPIKA,2021,1,1271.041667
SB206,MPIKA,2021,2,983.9583333
SB206,MPIKA,2021,3,706.4583333
SB207,MPIKA,2021,1,1146.041667
SB207,MPIKA,2021,2,434.7916667
SB207,MPIKA,2021,3,1002.708333
SB209,MPIKA,2021,1,867.5
SB209,MPIKA,2021,2,1448.125
SB209,MPIKA,2021,3,1158.958333
SB210,MPIKA,2021,1,644.1666667
SB210,MPIKA,2021,2,823.75
SB210,MPIKA,2021,3,897.5
SB212,MPIKA,2021,1,901.6666667
SB212,MPIKA,2021,2,1141.041667
SB212,MPIKA,2021,3,1262.5
SB213,MPIKA,2021,1,1799.791667
SB213,MPIKA,2021,2,1088.958333
SB213,MPIKA,2021,3,884.1666667
SB214,MPIKA,2021,1,802.0833333
SB214,MPIKA,2021,2,819.5833333
SB214,MPIKA,2021,3,732.0833333
SB001,UNZA,2017,1,476.9166667
SB001,UNZA,2017,2,550
SB001,UNZA,2017,3,513.4583333
SB002,UNZA,2017,1,1230.458333
SB002,UNZA,2017,2,1421.625
SB002,UNZA,2017,3,1326.041667
SB003,UNZA,2017,1,776.1666667
SB003,UNZA,2017,2,963.0416667
SB003,UNZA,2017,3,869.625
SB004,UNZA,2017,1,1976.583333
SB004,UNZA,2017,2,1942.791667
SB004,UNZA,2017,3,1959.708333
SB005,UNZA,2017,1,1248.125
SB005,UNZA,2017,2,1388
SB005,UNZA,2017,3,1318.083333
SB006,UNZA,2017,1,1115.291667
SB006,UNZA,2017,2,1242
SB006,UNZA,2017,3,1178.666667
SB007,UNZA,2017,1,679
SB007,UNZA,2017,2,991.8333333
SB007,UNZA,2017,3,835.4166667
SB008,UNZA,2017,1,1887.958333
SB008,UNZA,2017,2,414.5
SB008,UNZA,2017,3,1151.25
SB009,UNZA,2017,1,1466.583333
SB009,UNZA,2017,2,1466.583333
SB009,UNZA,2017,3,1466.583333
SB011,UNZA,2017,1,1379.583333
SB011,UNZA,2017,2,1163.291667
SB011,UNZA,2017,3,1271.458333
SB012,UNZA,2017,1,1473.333333
SB012,UNZA,2017,2,1615.833333
SB012,UNZA,2017,3,1544.583333
SB015,UNZA,2017,1,992.7916667
SB015,UNZA,2017,2,1144.875
SB015,UNZA,2017,3,1068.833333
SB016,UNZA,2017,1,2016.75
SB016,UNZA,2017,2,1829.291667
SB016,UNZA,2017,3,1923.041667
SB017,UNZA,2017,1,2176.75
SB017,UNZA,2017,2,1904.291667
SB017,UNZA,2017,3,2040.541667
SB018,UNZA,2017,1,1550
SB018,UNZA,2017,2,1229.708333
SB018,UNZA,2017,3,1389.875
SB019,UNZA,2017,1,1809.875
SB019,UNZA,2017,2,2311.416667
SB019,UNZA,2017,3,2060.666667
SB021,UNZA,2017,1,2237.166667
SB021,UNZA,2017,2,1651.458333
SB021,UNZA,2017,3,1944.333333
SB022,UNZA,2017,1,1804.875
SB022,UNZA,2017,2,1804.875
SB022,UNZA,2017,3,1804.875
SB023,UNZA,2017,1,546.5833333
SB023,UNZA,2017,2,1604.791667
SB023,UNZA,2017,3,1075.708333
SB024,UNZA,2017,1,530.6666667
SB024,UNZA,2017,2,773.4583333
SB024,UNZA,2017,3,652.0833333
SB025,UNZA,2017,1,1355.5
SB025,UNZA,2017,2,1005.166667
SB025,UNZA,2017,3,1180.333333
SB027,UNZA,2017,1,2311.5
SB027,UNZA,2017,2,929.75
SB027,UNZA,2017,3,1620.625
SB028,UNZA,2017,1,515.5833333
SB028,UNZA,2017,2,1083.125
SB028,UNZA,2017,3,799.375
SB030,UNZA,2017,1,1761.208333
SB030,UNZA,2017,2,1013.708333
SB030,UNZA,2017,3,1387.458333
SB031,UNZA,2017,1,355.5
SB031,UNZA,2017,2,340
SB031,UNZA,2017,3,347.75
SB032,UNZA,2017,1,883.0833333
SB032,UNZA,2017,2,939.1666667
SB032,UNZA,2017,3,911.125
SB033,UNZA,2017,1,2186.541667
SB033,UNZA,2017,2,1081.916667
SB033,UNZA,2017,3,1634.25
SB034,UNZA,2017,1,981.6666667
SB034,UNZA,2017,2,2025.416667
SB034,UNZA,2017,3,1503.541667
SB036,UNZA,2017,1,767.2916667
SB036,UNZA,2017,2,1723.75
SB036,UNZA,2017,3,1245.541667
SB037,UNZA,2017,1,1534.916667
SB037,UNZA,2017,2,3185.708333
SB037,UNZA,2017,3,2360.333333
SB040,UNZA,2017,1,1194
SB040,UNZA,2017,2,697.0833333
SB040,UNZA,2017,3,945.5416667
SB041,UNZA,2017,1,1582.625
SB041,UNZA,2017,2,1975.791667
SB041,UNZA,2017,3,1779.208333
SB042,UNZA,2017,1,834.6666667
SB042,UNZA,2017,2,1553.416667
SB042,UNZA,2017,3,1194.041667
SB043,UNZA,2017,1,719.875
SB043,UNZA,2017,2,1899
SB043,UNZA,2017,3,1309.458333
SB044,UNZA,2017,1,606.2916667
SB044,UNZA,2017,2,1143.333333
SB044,UNZA,2017,3,874.8333333
SB045,UNZA,2017,1,730.8333333
SB045,UNZA,2017,2,1739.458333
SB045,UNZA,2017,3,1235.166667
SB047,UNZA,2017,1,140.0833333
SB047,UNZA,2017,2,1685.875
SB047,UNZA,2017,3,913
SB048,UNZA,2017,1,600.0833333
SB048,UNZA,2017,2,545.875
SB048,UNZA,2017,3,573
SB052,UNZA,2017,1,503.4166667
SB052,UNZA,2017,2,908.7083333
SB052,UNZA,2017,3,706.0833333
SB053,UNZA,2017,1,384.375
SB053,UNZA,2017,2,358.4583333
SB053,UNZA,2017,3,371.4166667
SB054,UNZA,2017,1,1020.5
SB054,UNZA,2017,2,1522.708333
SB054,UNZA,2017,3,1271.625
SB055,UNZA,2017,1,511.25
SB055,UNZA,2017,2,1663.083333
SB055,UNZA,2017,3,1087.166667
SB056,UNZA,2017,1,1064.833333
SB056,UNZA,2017,2,394.0833333
SB056,UNZA,2017,3,729.4583333
SB058,UNZA,2017,1,906.5
SB058,UNZA,2017,2,1647.083333
SB058,UNZA,2017,3,1276.791667
SB059,UNZA,2017,1,591.125
SB059,UNZA,2017,2,1555.208333
SB059,UNZA,2017,3,1073.166667
SB061,UNZA,2017,1,721.9583333
SB061,UNZA,2017,2,1482.583333
SB061,UNZA,2017,3,1102.291667
SB062,UNZA,2017,1,1882.791667
SB062,UNZA,2017,2,2257.625
SB062,UNZA,2017,3,2070.208333
SB065,UNZA,2017,1,616.9583333
SB065,UNZA,2017,2,1290.083333
SB065,UNZA,2017,3,953.5416667
SB066,UNZA,2017,1,1448.25
SB066,UNZA,2017,2,2489.25
SB066,UNZA,2017,3,1968.75
SB067,UNZA,2017,1,1164.375
SB067,UNZA,2017,2,1895.958333
SB067,UNZA,2017,3,1530.166667
SB068,UNZA,2017,1,941.25
SB068,UNZA,2017,2,767.9583333
SB068,UNZA,2017,3,854.625
SB069,UNZA,2017,1,934.25
SB069,UNZA,2017,2,1646.541667
SB069,UNZA,2017,3,1290.416667
SB074,UNZA,2017,1,1380.458333
SB074,UNZA,2017,2,2326.375
SB074,UNZA,2017,3,1853.416667
SB075,UNZA,2017,1,512.7083333
SB075,UNZA,2017,2,1408.708333
SB075,UNZA,2017,3,960.7083333
SB076,UNZA,2017,1,1259.833333
SB076,UNZA,2017,2,1375.458333
SB076,UNZA,2017,3,1317.666667
SB077,UNZA,2017,1,405.7083333
SB077,UNZA,2017,2,419.75
SB077,UNZA,2017,3,412.75
SB078,UNZA,2017,1,818.5
SB078,UNZA,2017,2,1395.25
SB078,UNZA,2017,3,1106.875
SB079,UNZA,2017,1,1074.583333
SB079,UNZA,2017,2,2874.041667
SB079,UNZA,2017,3,1974.333333
SB081,UNZA,2017,1,1281.625
SB081,UNZA,2017,2,1281.625
SB081,UNZA,2017,3,1281.625
SB082,UNZA,2017,1,1261.083333
SB082,UNZA,2017,2,1079.5
SB082,UNZA,2017,3,1170.291667
SB083,UNZA,2017,1,688.875
SB083,UNZA,2017,2,1667.833333
SB083,UNZA,2017,3,1178.375
SB084,UNZA,2017,1,936.75
SB084,UNZA,2017,2,875.3333333
SB084,UNZA,2017,3,906.0416667
